公司名称,公司代码,REPORT_DATE,TOTAL_OPERATE_INCOME,OPERATE_INCOME,RESEARCH_EXPENSE,SALE_EXPENSE,MANAGE_EXPENSE,ME_RESEARCH_EXPENSE,FINANCE_EXPENSE,year
安克创新,300866,2025-12-31,30514403376.92,30514403376.92,2892785453.8,6826802834.83,1093058494.68,,52618524.62,2025
安克创新,300866,2024-12-31,24710080329.34,24710080329.34,2108444601.44,5569790884.12,868731901.96,,24953981.69,2024
安克创新,300866,2023-12-31,17507203144.25,17507203144.25,1413867418.29,3886612914.21,583181390.86,,86465874.81,2023
安克创新,300866,2022-12-31,14250519798.29,14250519798.29,1080462829.88,2937801137.13,465265813.7,,67110692.62,2022
安克创新,300866,2021-12-31,12574203308.96,12574203308.96,778430652.22,2444566278.29,374156335.93,,45591254.28,2021
安克创新,300866,2020-12-31,9352629343.29,9352629343.29,567402295.09,1819027357.82,282511260.34,,70730195.33,2020
安克创新,300866,2019-12-31,6654738184.93,6654738184.93,393670449.02,2082588921.7,171963520.87,,-9889813.47,2019
安克创新,300866,2018-12-31,5232218241.52,5232218241.52,286626159.85,1641743420.96,147232624.59,,26855941.22,2018
安克创新,300866,2017-12-31,3903005543.49,3903005543.49,200703588.26,1302032855.56,167523674.02,,29688534.85,2017
安克创新,300866,2016-12-31,2506757368.28,2506757368.28,104762986.0,822043652.48,155796381.52,,5444592.57,2016
安克创新,300866,2015-12-31,1296241067.25,1296241067.25,,424318470.36,62903662.65,,-662695.01,2015
安克创新,300866,2014-12-31,746046745.8,746046745.8,,231043841.97,35850652.14,,1196343.2,2014
