公司名称,公司代码,REPORT_DATE,TOTAL_OPERATE_INCOME,OPERATE_INCOME,RESEARCH_EXPENSE,SALE_EXPENSE,MANAGE_EXPENSE,ME_RESEARCH_EXPENSE,FINANCE_EXPENSE,year
致欧科技,301376,2025-12-31,8700946185.92,8700946185.92,66678745.81,2191788654.25,327859145.32,,-7942020.52,2025
致欧科技,301376,2024-12-31,8123835098.24,8123835098.24,77287386.26,2006511252.66,299561410.48,,61433130.23,2024
致欧科技,301376,2023-12-31,6074187229.49,6074187229.49,60073598.68,1409967683.11,244395786.81,,-22744289.66,2023
致欧科技,301376,2022-12-31,5455389426.78,5455389426.78,45010569.38,1201019657.71,174008908.58,,-13620159.53,2022
致欧科技,301376,2021-12-31,5967379509.22,5967379509.22,24510398.57,1313075385.69,177179731.38,,93605237.39,2021
致欧科技,301376,2020-12-31,3970992675.87,3970992675.87,12769337.62,822969947.14,170131056.66,,7154158.72,2020
致欧科技,301376,2019-12-31,2325566308.87,2325566308.87,10429459.62,999592061.41,106895023.75,,5357191.01,2019
致欧科技,301376,2018-12-31,1594676000.0,1594676000.0,4163200.0,735234700.0,90993100.0,,5360700.0,2018
