公司名称,公司代码,REPORT_DATE,TOTAL_OPERATE_INCOME,OPERATE_INCOME,RESEARCH_EXPENSE,SALE_EXPENSE,MANAGE_EXPENSE,ME_RESEARCH_EXPENSE,FINANCE_EXPENSE,year
华凯易佰,300592,2025-12-31,9133295094.71,9133295094.71,70957645.32,2322434602.11,352269813.16,,-9189481.86,2025
华凯易佰,300592,2024-12-31,9022209993.05,9022209993.05,66238726.02,2263945466.43,439651866.51,,-3784975.09,2024
华凯易佰,300592,2023-12-31,6517860595.35,6517860595.35,65175180.33,1526922883.54,415724713.51,,-18167857.23,2023
华凯易佰,300592,2022-12-31,4417024029.4,4417024029.4,51742592.54,1088393744.92,242627171.32,,-2838797.53,2022
华凯易佰,300592,2021-12-31,2074861491.34,2074861491.34,28916186.85,579576021.24,149625235.63,,29690068.16,2021
华凯易佰,300592,2020-12-31,135162927.17,135162927.17,7108180.58,21521599.87,40316139.1,,5649507.25,2020
华凯易佰,300592,2019-12-31,411779890.88,411779890.88,17330114.9,39274574.46,44573207.09,,7600995.27,2019
华凯易佰,300592,2018-12-31,448493089.65,448493089.65,17759428.26,37166883.35,31286802.3,,7905455.11,2018
华凯易佰,300592,2017-12-31,561813616.92,561813616.92,21345138.36,40926322.8,32817666.5,,6173635.95,2017
华凯易佰,300592,2016-12-31,529584201.09,529584201.09,,38335411.75,44227020.48,,8266795.14,2016
华凯易佰,300592,2015-12-31,481501008.47,481501008.47,,39814336.93,39992834.1,,10215330.81,2015
华凯易佰,300592,2014-12-31,435745634.57,435745634.57,,33247185.16,47330821.11,,11242591.88,2014
华凯易佰,300592,2013-12-31,418694415.44,418694415.44,,27561647.76,42567741.54,,9666869.16,2013
华凯易佰,300592,2012-12-31,339644373.33,339644373.33,,21828251.35,28189186.59,,5799357.19,2012
