公司名称,公司代码,REPORT_DATE,TOTAL_OPERATE_INCOME,OPERATE_INCOME,RESEARCH_EXPENSE,SALE_EXPENSE,MANAGE_EXPENSE,ME_RESEARCH_EXPENSE,FINANCE_EXPENSE,year
赛维时代,301381,2025-12-31,11816529344.62,11816529344.62,106781388.57,4187526377.14,224068772.85,,2428657.85,2025
赛维时代,301381,2024-12-31,10275379442.25,10275379442.25,118945806.75,3881846908.19,219361572.83,,-28407228.31,2024
赛维时代,301381,2023-12-31,6563662921.14,6563662921.14,87688608.09,2341534619.26,154575306.59,,-4366123.08,2023
赛维时代,301381,2022-12-31,4909118542.64,4909118542.64,47613006.32,1734053287.93,139644961.29,,-7544823.04,2022
赛维时代,301381,2021-12-31,5564672255.54,5564672255.54,36044712.34,2809423004.38,143849256.16,,41953322.7,2021
赛维时代,301381,2020-12-31,5253011000.45,5253011000.45,33343844.17,2653462475.04,123550760.25,,69217110.27,2020
赛维时代,301381,2019-12-31,2878775073.9,2878775073.9,33557843.19,1661484698.83,116009337.32,,-176766.14,2019
赛维时代,301381,2018-12-31,2245139200.0,2245139200.0,32273900.0,1357534300.0,83153000.0,,-1891900.0,2018
赛维时代,301381,2017-12-31,1949029607.82,1949029607.82,30080700.58,1073593121.69,83544700.48,,24134010.45,2017
赛维时代,301381,2016-12-31,1480074856.46,1480074856.46,,797905851.95,60050873.54,,2404509.68,2016
赛维时代,301381,2015-12-31,614243623.89,614243623.89,,312112051.09,31806903.41,,7849894.17,2015
赛维时代,301381,2014-12-31,24827528.76,24827528.76,,21527394.57,9559447.62,,730406.19,2014
