选项,指标,20260630,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20201231,20200930,20200630,20191231,20181231,20171231,20170630,20161231,20160331,20151231,20141231
常用指标,期间费用率,37.379648,39.988111,38.258316,39.123241,39.377662,40.94736,40.794085,41.098122,39.541542,41.202991,39.298672,63.097563,62.124306,63.558067,59.834211,57.872912,57.08006,,54.473474,,51.764304,54.817592,,54.394274,62.904362,65.522409,62.151571,61.316948,58.129575,56.268051,57.26862,128.153102
常用指标,资产负债率,46.468214,39.620833,43.154695,44.85199,42.821083,45.251137,48.114138,51.503723,43.701551,33.645274,33.360953,33.405171,39.020494,35.468543,38.380633,,38.922691,,43.561078,46.48692,46.885229,43.7803,,46.102004,52.737609,56.835239,59.307401,69.43898,60.244755,62.455074,59.851204,226.252405
每股指标,基本每股收益,0.4103,0.1055,0.7043,0.5225,0.4226,0.1175,0.5351,0.4884,0.5888,0.2151,0.8907,0.6033,0.4176,0.1444,0.5132,0.4362,0.3349,0.1089,0.9659,,0.72,1.2524,,0.6557,0.153,-0.02,-0.1981,0.21,0.48,1.3,1.77,-27.74
每股指标,稀释每股收益,0.4074,0.1055,0.6967,0.5225,0.4226,0.1175,0.5351,0.4884,0.5888,0.2151,0.8907,0.6033,0.4176,0.1444,0.5132,0.4362,0.3349,0.1089,0.9659,,0.72,1.2524,,0.6557,0.153,-0.02,-0.1981,0.21,0.48,1.3,1.77,-27.74
每股指标,摊薄每股收益_最新股数,0.407671,0.104685,0.696158,0.515995,0.416229,0.115689,0.526708,0.480721,0.579568,0.21168,0.825486,0.547506,0.369887,0.127852,0.455467,0.386354,0.296574,0.096443,0.855441,0.701692,0.634799,1.109219,0.926099,0.580684,0.133111,-0.016317,-0.162324,0.041401,0.095383,0.034207,0.046634,-0.034118
每股指标,摊薄每股净资产_期末股数,7.050007,6.940144,6.7957,6.597138,6.716162,6.324493,6.150381,6.039643,6.38526,6.249217,6.034557,5.999188,4.457844,4.186686,4.04044,,3.857266,3.625071,3.516325,3.341953,3.266464,2.547044,,1.958691,1.301909,3.69818,3.745659,2.459085,2.223119,13.962421,12.584902,-30.46991
每股指标,调整每股净资产_期末股数,6.444562,6.335858,6.151683,6.325246,6.419462,6.049488,5.868984,5.773808,6.139868,6.003023,5.768689,5.713223,4.116488,3.852684,3.733739,,3.590522,3.625071,3.259335,3.341953,3.19103,2.460368,,1.873867,1.18398,3.205741,3.359841,2.304694,2.122656,13.722111,12.391015,-38.812166
每股指标,每股净资产_最新股数,7.050007,6.888467,6.745098,6.548015,6.666153,6.22515,6.053773,5.944775,6.284962,6.151056,5.939769,5.904955,3.948053,3.707903,3.578382,,3.416155,3.210514,3.114204,2.959773,2.892917,2.255768,,1.734698,1.153025,0.808626,0.819007,0.48397,0.43753,0.368207,0.33188,-0.037479
每股指标,每股经营现金流,0.78592,0.118358,3.097546,1.839466,1.265081,-0.023435,-1.171044,-1.21295,0.273962,0.246408,1.373686,0.848992,0.992342,0.565236,1.161273,0.650548,0.443674,0.079586,0.703736,0.110547,0.321353,0.851178,0.625398,0.578767,0.182331,0.923831,-3.352347,-0.163969,0.153956,0.883874,-9.766368,1.393369
每股指标,每股现金流量净额,-0.977417,-1.123947,0.573213,0.181307,0.584236,-0.505694,0.338586,0.040655,-0.413498,-0.697305,0.002783,-0.081777,-0.580699,-0.435945,0.889897,-0.199062,0.308975,,0.145368,,0.091204,0.503659,,0.422634,0.170586,0.503452,0.146189,0.173245,0.130429,0.847924,1.722089,-1.657628
每股指标,每股企业自由现金流量,0.183137,,-0.291318,,-0.34459,,0.291907,,0.354712,,-0.371951,,0.231232,0.22644,-0.012492,,0.071105,,-2.276737,,,-0.076772,,-0.035433,-0.2359,,-2.256671,0.056744,-0.012774,0.022594,-12.188541,13.258346
每股指标,每股股东自由现金流量,0.183443,,-1.186515,,-0.722787,,1.531638,,0.911409,,-0.142554,,0.416047,0.22644,0.037045,,0.071105,,-2.318403,,,-0.305594,,-0.156904,-0.215044,,-1.088804,0.475494,0.112225,0.022594,-12.188541,13.258346
每股指标,每股未分配利润,3.470203,3.471444,3.365974,3.214586,3.364072,3.088167,2.970631,2.947287,3.347712,3.238247,3.023189,3.02905,3.198249,2.924961,2.777669,,2.603223,,2.268353,,2.022566,1.301318,,0.704536,0.048871,-0.410828,-0.331229,0.718648,0.512256,1.203812,-0.093332,-39.913363
每股指标,每股资本公积金,2.415789,2.334257,2.298695,2.268457,2.238983,2.121114,2.063494,2.007971,1.950351,1.937547,1.937547,1.937547,0.256152,0.256152,0.256152,,0.256152,,0.256152,,0.256152,0.256152,,0.256152,0.256121,3.108049,3.074412,0.738199,0.712416,11.766743,11.669712,8.460517
每股指标,每股盈余公积金,0.176902,0.147762,0.147762,0.117635,0.117635,0.117428,0.117428,0.094051,0.094051,0.079756,0.079756,0.040976,0.01319,0.01319,0.01319,,0.008227,,0.008227,,0.00488,0.003224,,0.003224,0.003224,0.01306,0.00809,0.006046,0.002076,,,
每股指标,每股留存收益,3.647105,3.619207,3.513736,3.332222,3.481708,3.205595,3.088059,3.041338,3.441763,3.318004,3.102945,3.070027,3.211439,2.938151,2.79086,,2.61145,,2.27658,,2.027447,1.304542,,0.70776,0.052095,-0.397767,-0.323138,0.724695,0.514332,1.203812,-0.093332,-39.913363
每股指标,每股营业收入,15.255819,6.741942,29.288112,20.295582,13.249421,6.144165,25.682028,16.999878,10.441084,4.496417,16.405056,10.932715,7.702816,3.454481,13.63644,9.327135,6.094422,2.812816,15.457422,11.478879,8.072506,14.591697,10.13453,6.365839,7.996597,25.260342,21.928775,10.616513,18.500935,34.193306,57.301309,49.655057
