选项,指标,20260630,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210630,20201231,20191231,20181231
每股指标,调整每股净资产_期末股数,8.35515,8.1518,8.155914,8.23297,8.082586,8.099228,7.813411,7.779262,7.521441,7.835669,7.595043,7.30288,7.059765,5.099157,4.874337,,4.480442,,4.151048,3.850891,3.503221,13.21097,6.69848
每股指标,每股净资产_最新股数,8.754988,8.537817,8.391375,8.472138,8.332259,8.317082,8.01834,7.964711,7.695948,7.998941,7.754562,7.438561,7.199951,4.703205,4.490242,,4.117487,,3.826266,3.58774,3.243642,1.059828,0.543387
每股指标,每股经营现金流,4.159382,1.262214,6.138304,5.174211,3.701226,1.709276,5.713425,3.725294,2.327765,1.091803,3.733695,2.65312,1.784478,0.715384,2.734364,,0.436664,,0.733142,-0.163582,-0.573938,2.902346,-1.100323
每股指标,每股现金流量净额,1.524372,-0.036846,0.182225,-0.182763,0.066048,0.042038,-0.342895,-0.434406,0.001879,-0.312481,-0.292798,0.297858,2.270651,-0.151899,0.510631,,-0.350033,,0.800578,0.080852,0.12794,2.136162,-0.828094
每股指标,每股企业自由现金流量,-0.065812,,-2.32892,,-1.47632,,1.102345,,0.029072,,0.910545,,-1.509344,0.408445,0.135192,,0.280889,,0.84011,0.440815,-0.952523,-3.23342,-5.239153
每股指标,每股股东自由现金流量,-2.588231,,-7.155408,,-4.21585,,-2.668563,,-1.685223,,-0.581977,,-1.966726,0.286563,-0.795057,,0.086391,,1.819952,0.883987,-0.952523,-3.681066,-4.778977
每股指标,每股未分配利润,3.705433,3.479601,3.292793,3.387488,3.185465,3.194036,2.917834,2.945078,2.681074,3.004243,2.753835,2.519289,2.268898,2.248325,2.006512,,1.666958,,1.361524,1.134453,0.745875,2.73214,-0.562721
每股指标,每股资本公积金,3.78057,3.777543,3.777543,3.823751,3.819279,3.801003,3.787353,3.774051,3.763423,3.745373,3.745373,3.745373,3.745373,1.803893,1.803893,,1.803893,,1.803893,1.80044,1.80044,9.689286,6.759502
每股指标,每股盈余公积金,0.35078,0.35078,0.35078,0.296206,0.296206,0.296862,0.296862,0.230041,0.230041,0.230041,0.230041,0.149662,0.149662,0.166292,0.166292,,0.119112,,0.119112,0.07109,0.07109,0.242781,
每股指标,每股留存收益,4.056213,3.830382,3.643574,3.683695,3.481672,3.490898,3.214696,3.17512,2.911116,3.234285,2.983877,2.668952,2.418561,2.414618,2.172805,,1.786071,,1.480637,1.205543,0.816965,2.974921,-0.562721
每股指标,每股营业收入,11.990078,5.749735,21.618924,15.113786,10.050389,5.208605,20.233711,14.266066,9.267943,4.586824,15.128735,10.301451,6.585064,3.507591,15.097244,,7.772731,,16.514126,8.854592,10.989325,75.841564,53.461308
每股指标,每股营业总收入,11.990078,5.749735,21.618924,15.113786,10.050389,5.208605,20.233711,14.266066,9.267943,4.586824,15.128735,10.301451,6.585064,3.507591,15.097244,,7.772731,,16.514126,8.854592,10.989325,75.841564,53.461308
每股指标,每股息税前利润,0.823889,0.277095,1.075223,0.950641,0.656954,0.381454,1.124405,0.947874,0.581978,0.322243,1.302511,0.925232,0.602264,0.318372,0.942742,,0.444234,,0.880262,0.512287,1.2913,4.670663,1.867197
盈利能力,净资产收益率(ROE),7.08,2.21,10.06,8.17,5.74,3.37,10.52,8.75,5.41,3.17,16.76,12.72,9.78,4.72,14.94,,6.9,3.29,16.86,10.21,53.28,33.72,28.55
盈利能力,摊薄净资产收益率,6.981112,2.188004,9.943127,7.969571,5.679258,3.312908,10.336535,8.657924,5.53811,3.122973,13.229337,9.567843,6.415632,4.616164,13.840031,,6.660088,,15.573059,9.724185,29.127241,25.318204,18.582181
盈利能力,净资产收益率_平均,7.129156,2.20693,10.16916,8.188884,5.788295,3.373494,10.509397,8.773671,5.517101,3.171418,16.756121,11.932628,7.902732,4.723096,14.944996,,6.90425,,16.856418,10.213994,43.907977,33.473914,18.582181
盈利能力,净资产收益率_平均_扣除非经常损益,5.665471,1.687268,9.665119,8.641202,6.793699,3.6457,9.721505,8.166937,5.13171,3.027723,17.521592,13.035192,9.03974,4.566817,15.018375,,6.602647,,14.584023,9.134203,52.966402,50.802547,36.233073
盈利能力,摊薄净资产收益率_扣除非经常损益,5.547822,1.672798,9.450289,8.409775,6.665722,3.580224,9.561602,8.059194,5.151252,2.981472,13.833693,10.451903,7.338682,,13.907983,,6.369152,,13.473675,,35.136329,38.424825,
盈利能力,息税前利润率,6.871427,4.81927,4.973527,6.289895,6.536608,7.323539,5.557091,6.644261,6.279477,7.025407,8.60952,8.981573,9.145915,9.076668,6.244466,5.911518,5.715288,,5.330362,5.785557,11.750496,6.158447,3.492615
盈利能力,总资产报酬率,4.664497,1.609983,6.608623,6.019444,4.225158,2.405458,7.617393,6.436705,4.088078,2.287141,11.545726,8.689032,5.811817,3.248716,9.869753,,4.746698,,12.185741,8.292199,38.10793,26.667869,13.253563
盈利能力,总资本回报率,5.23272,1.886284,7.755938,7.006384,4.841862,2.768453,8.86061,7.342531,4.621259,2.635899,13.332252,9.898064,6.590367,3.719188,11.652782,,5.557136,,15.237085,10.269734,52.865578,43.425333,23.924489
盈利能力,投入资本回报率,5.689904,1.513988,6.285808,5.692429,3.976739,2.239594,7.476128,6.026336,3.81123,2.261035,11.426364,8.315645,5.518973,3.070548,9.64724,,4.366618,,12.423765,8.230346,43.137947,32.808967,17.489702
盈利能力,息前税后总资产报酬率_平均,3.887605,1.292221,5.355965,4.890577,3.470225,1.945942,6.427165,5.282885,3.371507,1.961876,9.895228,7.299903,4.866992,2.682128,8.171085,,3.729801,,9.93581,6.645515,31.095808,20.148268,9.928839
盈利能力,毛利率,35.634506,35.049683,34.479592,35.009363,34.928618,35.391071,34.653509,35.10139,34.917698,35.997182,36.320028,36.859692,36.387155,36.781263,31.649472,31.225974,31.485987,47.592727,32.63706,33.782344,37.91615,55.795019,56.473829
盈利能力,销售净利率,5.097511,3.24898,3.85942,4.468292,4.709322,5.302806,4.106111,4.845364,4.609855,5.459282,6.797349,6.925505,7.031627,6.893989,4.584727,4.161098,3.929551,3.604668,4.018813,4.388438,9.575593,4.643787,2.611633
盈利能力,成本费用利润率,6.582355,4.364765,5.046722,5.998877,6.294819,7.218206,5.212054,6.376433,6.006399,6.842787,8.770965,9.202793,9.458682,9.245553,6.012322,5.662247,5.453046,,5.304519,5.977983,13.400123,6.65062,3.635558
盈利能力,营业利润率,6.162619,4.20292,4.841708,5.658231,5.898668,6.723511,4.972285,6.032287,5.701567,6.455209,8.100775,8.376318,8.527676,8.489322,5.699346,5.385885,5.22336,,5.037459,5.537229,11.790497,6.164197,3.479603
盈利能力,总资产净利率_平均,3.460318,1.085393,5.128242,4.276166,3.044029,1.741737,5.62846,4.694003,3.001117,1.777284,9.115528,6.699933,4.468283,2.467492,7.246436,,3.263595,,9.18741,6.289767,31.054521,20.108948,9.670483
盈利能力,总资产净利率_平均(含少数股东损益),3.460318,1.085393,5.128242,4.276166,3.044029,1.741737,5.62846,4.694003,3.001117,1.777284,9.115528,6.699933,4.468283,2.467492,7.246436,,3.263595,,9.18741,6.289767,31.054521,20.108948,9.910468
成长能力,归母净利润,245987255.17,75184341.07,335806096.83,271744290.31,190452568.35,110895216.95,333573745.07,277534049.49,171536369.03,100538681.31,412883749.9,286441172.51,185909433.81,87379117.83,250114743.48,171376155.44,110368389.48,51439087.64,239817876.59,140412800.0,380246117.18,107994347.06,40638600.0
成长能力,营业总收入,4825634589.03,2314090289.85,8700946185.92,6081613629.49,4044161058.6,2091255102.87,8123835098.24,5727825735.94,3721079133.37,1841609961.04,6074187229.49,4136032926.72,2643903216.97,1267468108.1,5455389426.78,4118531778.79,2808676697.16,1427013159.98,5967379509.22,3199607100.0,3970992675.87,2325566308.87,1594676000.0
成长能力,净利润,245987255.17,75184341.07,335806096.83,271744290.31,190452568.35,110895216.95,333573745.07,277534049.49,171536369.03,100538681.31,412883749.9,286441172.51,185909433.81,87379117.83,250114743.48,171376155.44,110368389.48,51439087.64,239817876.59,140412800.0,380246117.18,107994347.06,41647100.0
成长能力,扣非净利润,195483685.73,57480823.41,319161636.94,286754253.88,223533409.85,119843290.3,308565634.75,258341467.37,159553909.72,95983316.14,431745547.53,312908069.47,212657195.82,84487900.0,251342800.0,,105547100.0,46334600.0,207488300.0,125568800.0,458692700.0,163900400.0,79240500.0
成长能力,营业总收入增长率,19.323501,10.655571,7.103924,6.176652,8.682479,13.555809,33.743574,38.48598,40.741881,45.298327,11.342871,0.424936,-5.866587,-11.180349,-8.579814,,-12.218075,,50.274251,,70.753792,45.833154,
成长能力,归属母公司净利润增长率,29.159326,-32.202359,0.669222,-2.086143,11.027515,10.301045,-19.208797,-3.109581,-7.731218,15.060307,65.077733,67.141789,68.444456,69.869105,4.293619,,-21.397202,,-36.93088,,252.098167,165.743276,
收益质量,经营活动净现金/销售收入,0.346902,0.219525,0.283931,0.34235,0.368267,0.328163,0.282371,0.261129,0.251163,0.23803,0.246794,0.257548,0.270988,0.203953,0.181116,0.132467,0.056179,,0.044394,-0.018474,-0.052226,0.038268,-0.020581
收益质量,经营性现金净流量/营业总收入,0.346902,0.219525,0.283931,0.34235,0.368267,0.328163,0.282371,0.261129,0.251163,0.23803,0.246794,0.257548,0.270988,0.203953,0.181116,0.132467,0.056179,,0.044394,-0.018474,-0.052226,0.038268,-0.020581
收益质量,成本费用率,94.828919,96.228766,95.153788,94.148924,93.366534,92.846117,95.440567,94.667182,95.074288,94.382552,91.530492,90.857225,90.059863,91.687246,94.130886,94.215446,94.515074,95.676332,94.315653,92.629038,87.59446,92.463063,95.935042
收益质量,期间费用率,30.463426,31.278449,29.63338,29.158288,28.295152,28.237189,30.094076,29.768573,29.991987,30.379735,27.85052,27.716917,26.447019,28.468509,25.780358,25.44142,26.001062,43.26906,26.952714,26.411383,25.510611,48.258083,52.408871
收益质量,销售成本率,64.365493,64.950316,65.520407,64.990636,65.071381,64.608928,65.34649,64.898609,65.082301,64.002817,63.679971,63.140307,63.612844,63.218736,68.350527,68.774025,68.514012,52.407272,67.362939,66.217655,62.083849,44.20498,43.52617
收益质量,经营活动净现金/归属母公司的净利润,6.805321,6.756756,7.356855,7.661772,7.819957,6.188495,6.87686,5.389269,5.448395,4.360103,3.630752,3.718836,3.853856,2.958418,3.950436,3.183467,1.429655,,1.104676,-0.420976,-0.545417,0.82408,-0.807633
收益质量,所得税/利润总额,18.334991,22.646276,19.631366,20.885476,19.872081,20.875178,17.455381,19.730755,19.274639,15.470026,15.330613,17.172931,17.454395,18.674118,18.989915,21.999567,23.756525,,19.6718,20.748374,18.420647,24.483502,25.120328
财务风险,流动比率,1.950303,1.987609,2.011646,2.251411,2.085633,1.641461,1.53398,1.612326,1.802564,1.91811,1.745302,2.166301,2.700083,2.226988,2.349673,,2.13291,,1.97114,2.569982,3.263219,2.736117,1.976518
财务风险,速动比率,1.377669,1.434728,1.500322,1.616201,1.479594,1.078155,0.970463,0.991068,1.154971,1.299184,1.259166,1.640808,2.215159,1.621505,1.614745,,1.05885,,0.983636,1.234047,1.506721,1.619098,1.107385
财务风险,保守速动比率,0.896693,0.770463,0.797105,0.814792,0.91348,0.731076,0.577883,0.597933,0.730718,0.744762,0.762,1.148613,1.770188,1.210051,1.26831,,0.721657,,0.614158,0.665719,0.87873,1.164827,0.465103
财务风险,资产负债率,52.338761,51.115693,50.513126,47.036348,46.270621,48.19997,48.545075,48.659506,47.054753,43.839823,44.082059,40.985799,40.175,47.490384,48.033133,,50.355644,,55.044957,45.914574,27.273515,34.7645,47.958325
财务风险,权益乘数,2.06026,2.033299,1.982971,1.915006,1.901524,1.936856,1.867188,1.869123,1.838348,1.784418,1.838195,1.781007,1.768628,1.914127,2.062392,,2.115534,,1.83473,1.623906,1.413899,1.664627,1.921536
财务风险,权益乘数(含少数股权的净资产),2.098141,2.045646,2.020737,1.888087,1.861179,1.9305,1.943448,1.94778,1.888743,1.780621,1.788334,1.694507,1.671542,1.904413,1.924303,,2.014327,,2.224444,1.848926,1.375014,1.532907,1.921536
财务风险,产权比率,109.814103,104.564628,102.073787,88.808735,86.117916,93.050081,94.344857,94.778025,88.874367,78.062118,78.83348,69.45074,67.1542,90.441312,92.430306,,101.432767,,122.444454,84.892693,37.50149,53.290771,92.15365
财务风险,现金比率,0.702091,0.466035,0.499656,0.640787,0.792326,0.595803,0.45869,0.508846,0.634144,0.654281,0.65672,1.033963,1.642452,1.08945,1.115585,,0.526673,,0.496583,0.407187,0.645425,0.87961,0.320544
营运能力,应收账款周转率,7.20113,2.937151,16.867015,19.293949,15.748807,7.220003,34.337685,29.656986,19.978341,10.424251,36.411244,27.129618,17.687611,9.660262,40.651192,,18.30565,,49.880014,21.878566,44.461976,49.670415,54.865097
营运能力,应收账款周转天数,24.996076,30.641936,21.343432,13.994024,11.429437,12.465367,10.484108,9.104094,9.009756,8.633713,9.887055,9.952222,10.176614,9.316516,8.855828,,9.833029,,7.217319,8.227229,8.096806,7.247775,6.561548
营运能力,存货周转率,2.115021,1.091556,4.383677,3.0509,2.126374,1.057275,4.819345,3.311666,2.306196,1.182486,4.932233,3.651748,2.627147,1.244611,4.284213,,1.875308,,4.208419,2.379612,4.435859,4.807753,3.971958
营运能力,存货周转天数,85.105517,82.451034,82.122837,88.498466,84.651126,85.124463,74.698943,81.529945,78.050603,76.11078,72.989251,73.937187,68.515381,72.311748,84.029423,,95.984207,,85.542808,75.642574,81.156761,74.879048,90.635379
营运能力,总资产周转率,0.678825,0.334072,1.328759,0.957002,0.646383,0.328455,1.370751,0.968761,0.651022,0.325552,1.341041,0.967428,0.635455,0.357919,1.580559,,0.830526,,2.2861,1.433258,3.243091,4.33029,3.794738
营运能力,总资产周转天数,265.164012,269.402915,270.929317,282.130998,278.472302,274.009541,262.629584,278.706327,276.488311,276.452852,268.448041,279.090309,283.261578,251.453227,227.76738,,216.730025,,157.473421,125.587938,111.005207,83.135293,94.868188
营运能力,流动资产周转率,0.90382,0.447881,2.016801,1.502511,1.069012,0.581396,2.403346,1.709482,1.135274,0.557209,2.266369,1.57303,0.962186,0.575535,2.536129,,1.374682,,3.230409,1.899437,3.586069,4.573944,4.012728
营运能力,流动资产周转天数,199.15454,200.945824,178.500453,179.699097,168.379702,154.799615,149.791128,157.942517,158.551976,161.519162,158.844367,171.643204,187.074011,156.376237,141.948564,,130.939288,,111.440989,94.76488,100.388451,78.706684,89.714515
营运能力,应付账款周转率,6.700103,3.334803,12.021414,9.159716,6.606638,3.434753,14.020405,10.581967,8.09613,3.294497,12.823949,9.407731,6.796205,3.136356,11.474397,,6.969415,,16.022306,13.215263,23.241436,15.050311,13.698647
