常用指标,每股净资产,6.077147,5.923498,5.762934,5.712195,5.783085,5.811809,5.787069,5.47873,5.438695,7.710493,7.379468,7.19569,7.072219,7.40664,7.619098,7.505393,7.39945,7.177016,7.217105,7.545702,3.403611,3.555041,3.584476,3.934068,3.990393,4.118199,4.19254,4.244889,4.172645,4.065942,4.127326,4.154349,4.076372,4.065294,4.049105,3.944258,3.744381,3.75064,3.620265,3.492051,3.283891,,3.184144,,2.782442,2.092417,1.781763
常用指标,每股现金流,0.820034,0.174831,2.403506,1.432778,0.908438,0.202335,-0.814111,-1.029572,-0.315353,0.046802,1.265701,1.22783,0.959175,0.563304,0.986638,0.332911,0.168262,-0.218116,1.115648,0.527037,0.026625,0.085411,0.230448,0.031335,-0.006544,0.101244,0.615931,-0.079665,-0.246514,-0.223777,0.286004,-0.117521,0.008439,-0.030656,-0.036168,-0.465074,-0.214698,-0.279317,-0.211521,-0.233573,-0.085643,,0.409393,,-0.436477,0.017543,-0.075171
常用指标,净资产收益率(ROE),6.91,3.03,6.23,2.1,1.55,-0.64,7.76,8.71,6.14,3.76,15.83,13.94,9.42,3.45,10.05,6.67,3.94,1.65,-7.14,-1.65,-5.18,-0.82,-13.3,-3.96,-2.59,-1.79,1.57,2.81,1.09,-1.5,3.14,3.78,1.89,0.4,10.44,7.82,2.58,0.15,12.82,9.22,3.08,0.15,13.47,,18.72,22.5,17.35
常用指标,总资产报酬率(ROA),5.603404,2.866177,5.084947,0.922703,1.184036,-0.75575,5.996724,5.705669,4.759787,3.032974,12.929132,11.79166,8.532356,3.318589,9.504646,6.519057,3.778914,1.789253,-2.858693,0.09377,-2.179648,-0.084224,-5.869731,-1.729204,-1.119123,-0.558641,1.591735,2.291731,1.16206,-0.496304,2.309979,2.753897,1.628839,0.508986,7.142947,5.773766,2.181798,0.263223,7.790064,6.031663,2.346485,,8.625527,,10.521392,10.902428,7.898016
常用指标,毛利率,38.738646,35.85374,33.417478,32.708083,33.46584,31.482221,33.854971,35.125679,36.669276,36.455015,36.957341,37.810717,38.221061,37.993905,37.924963,38.284031,38.664215,34.987491,37.238936,57.403594,24.890186,23.582527,17.82739,11.718918,17.90062,8.879013,30.979426,32.498471,33.570648,30.731,27.431505,28.0815,30.097435,27.995025,31.359773,29.880279,25.165495,26.966427,25.641494,27.012084,26.951473,31.427484,29.655645,30.051988,33.734687,30.20965,26.287579
常用指标,销售净利率,4.478729,3.835522,1.687607,0.667777,0.714917,-0.699459,1.851039,3.071251,3.769344,4.829785,5.347929,6.695145,7.577789,6.20083,5.52016,5.27885,4.793597,4.164143,-3.949741,-1.398065,-28.733096,-10.473487,-46.228182,-15.445298,-24.570655,-50.660782,1.938145,5.235044,3.345152,-23.881095,3.498787,7.079147,5.876871,2.869287,8.674576,10.917387,5.770302,-0.059532,7.558305,8.832371,5.316442,1.120294,7.657026,3.752552,8.394896,7.191209,4.880271
常用指标,期间费用率,33.42043,32.27164,29.961504,31.357124,31.61319,31.305173,30.658243,30.924154,31.08222,30.813219,30.526196,29.845879,29.283313,31.123818,31.24105,32.220711,32.919901,30.97804,37.969161,59.846029,46.770847,35.611351,55.189265,35.908314,53.635207,95.365419,26.416756,27.31513,29.978638,61.263589,20.985511,20.549137,23.195235,25.031442,18.024262,16.516783,19.403224,28.869467,17.151045,18.846171,22.47992,39.90571,18.696222,24.571236,21.072063,19.058352,16.433893
常用指标,资产负债率,39.37347,37.758567,39.737542,41.689024,42.558849,44.343108,46.571203,50.766525,39.28149,35.663786,34.462957,35.603479,34.507934,26.755593,25.263244,23.690098,23.834071,21.912666,26.290791,26.167576,52.644988,51.048101,51.912097,50.630593,49.364287,50.412667,54.327239,53.460325,52.577704,51.272002,53.227753,49.174328,49.159661,47.88273,52.695394,47.395002,47.074433,43.561307,54.902831,50.112913,51.489996,,53.597067,,52.999479,61.40654,67.442839
每股指标,基本每股收益,0.433,0.189,0.38,0.1268,0.094,-0.0373,0.43,0.4905,0.35,0.2834,0.876,1.0604,0.76,0.2646,0.761,0.4992,0.29,0.1201,-0.429,-0.0939,-0.1809,-0.0294,-0.511,-0.161,-0.1046,-0.0743,0.0652,0.1176,0.0453,-0.0614,0.1282,0.1552,0.0773,0.0162,0.4067,0.3017,0.0976,0.0,0.4361,0.31,0.0997,0.0,0.4,0.1,0.44,,
每股指标,稀释每股收益,0.427,0.189,0.38,0.1268,0.094,-0.0373,0.43,0.4905,0.35,0.2812,0.868,1.0201,0.75,0.2646,0.761,0.4992,0.29,0.1201,-0.429,-0.0939,-0.1809,-0.0294,-0.511,-0.161,-0.1046,-0.0743,0.0652,0.1176,0.0453,-0.0614,0.1282,0.1552,0.0773,0.0162,0.4067,0.3017,0.0976,0.0,0.4361,0.31,0.0997,0.0,0.4,0.1,0.44,,
