公司名称,公司代码,股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
安克创新,300866,300866,2023-06-30,按产品分类,无线音频类,1562602336.55,0.221153,879350648.03,0.219028,683251688.52,0.223951,0.437252
安克创新,300866,300866,2023-06-30,按产品分类,其他(补充),73396248.06,0.010388,55811345.77,0.013901,17584902.29,0.005764,0.239589
安克创新,300866,300866,2023-06-30,按产品分类,其他,551873.53,7.8e-05,205432.61,5.1e-05,346440.92,0.000114,0.627754
安克创新,300866,300866,2023-06-30,按地区分类,中国,9543694786.55,1.350709,7805959402.85,1.944299,1737735383.7,0.569582,0.182082
安克创新,300866,300866,2023-06-30,按地区分类,美国,3228158238.9,0.456878,2611848224.77,0.650556,616310014.13,0.202009,0.190917
安克创新,300866,300866,2023-06-30,按地区分类,欧洲,2052027346.16,0.290421,1770867923.01,0.441086,281159423.15,0.092156,0.137015
安克创新,300866,300866,2023-06-30,按地区分类,日本,1066876694.7,0.150994,784025448.59,0.195284,282851246.11,0.092711,0.265121
安克创新,300866,300866,2023-06-30,按地区分类,其他,428422877.7,0.060634,255523969.87,0.063646,172898907.83,0.056671,0.403571
安克创新,300866,300866,2023-06-30,按地区分类,分部间抵销,-9253487804.18,-1.309636,-9213430486.25,-2.29487,-40057317.93,-0.01313,
安克创新,300866,300866,2022-12-31,按行业分类,消费电子业,14250519798.29,1.0,8730994681.47,1.0,5519525116.82,1.0,0.387321
安克创新,300866,300866,2022-12-31,按产品分类,充电类产品,6876255027.33,0.482527,3997802191.31,0.457886,2878452836.02,0.521504,0.418608
安克创新,300866,300866,2022-12-31,按产品分类,智能创新类产品,4391492992.62,0.308164,2838653322.38,0.325124,1552839670.24,0.281336,0.353602
安克创新,300866,300866,2022-12-31,按产品分类,无线音频类产品,2821921515.96,0.198022,1758226705.16,0.201378,1063694810.8,0.192715,0.37694
安克创新,300866,300866,2022-12-31,按产品分类,其他,160850262.38,0.011287,136312462.62,0.015612,24537799.76,0.004446,0.152551
安克创新,300866,300866,2022-12-31,按地区分类,境外,13729379845.33,0.96343,8397360488.24,0.961787,5332019357.09,0.966029,0.388366
安克创新,300866,300866,2022-12-31,按地区分类,境内,521139952.96,0.03657,333634193.23,0.038213,187505759.73,0.033971,0.359799
安克创新,300866,300866,2022-06-30,按行业分类,消费电子业,5887371356.89,1.0,3569431564.48,1.0,2317939792.41,1.0,0.393714
安克创新,300866,300866,2022-06-30,按产品分类,充电类产品,2944705968.36,0.500173,1691459792.19,0.473874,1253246176.17,0.540672,0.425593
安克创新,300866,300866,2022-06-30,按产品分类,智能创新类产品,1667869639.68,0.283296,1081209782.93,0.302908,586659856.75,0.253095,0.351742
安克创新,300866,300866,2022-06-30,按产品分类,无线音频类产品,1210288657.31,0.205574,748952677.88,0.209824,461335979.43,0.199028,0.381178
安克创新,300866,300866,2022-06-30,按产品分类,其他,64507091.54,0.010957,47809311.48,0.013394,16697780.06,0.007204,0.258852
安克创新,300866,300866,2022-06-30,按地区分类,境外,5680938866.55,0.964936,3443218506.82,0.964641,2237720359.73,0.965392,0.3939
安克创新,300866,300866,2022-06-30,按地区分类,境内,206432490.34,0.035064,126213057.66,0.035359,80219432.68,0.034608,0.388599
安克创新,300866,300866,2021-12-31,按行业分类,消费电子业,12574203308.96,1.0,8082322973.45,1.0,4491880335.51,1.0,0.35723
安克创新,300866,300866,2021-12-31,按产品分类,充电类产品,5552476323.66,0.441577,3458868455.19,0.427955,2093607868.47,0.466087,0.377058
安克创新,300866,300866,2021-12-31,按产品分类,智能创新类产品,4103516381.7,0.326344,2712512169.61,0.33561,1391004212.09,0.309671,0.338979
安克创新,300866,300866,2021-12-31,按产品分类,无线音频类产品,2852154043.08,0.226826,1861098770.63,0.230268,991055272.45,0.220633,0.347476
安克创新,300866,300866,2021-12-31,按产品分类,其他,66056560.52,0.005253,49843578.02,0.006167,16212982.5,0.003609,0.245441
安克创新,300866,300866,2021-12-31,按地区分类,境外,12154630495.17,0.966632,7782725133.3,0.962932,4371905361.87,0.973291,0.359691
安克创新,300866,300866,2021-12-31,按地区分类,境内,419572813.79,0.033368,299597840.15,0.037068,119974973.64,0.026709,0.285946
安克创新,300866,300866,2021-06-30,按产品分类,充电类产品,2371351098.19,0.441545,1281712825.3,0.432946,1089638272.89,0.452107,0.459501
安克创新,300866,300866,2021-06-30,按产品分类,智能创新类产品,1726122063.77,0.321403,937062407.1,0.316528,789059656.67,0.327392,0.457129
安克创新,300866,300866,2021-06-30,按产品分类,无线音频类产品,1244510894.88,0.231728,721978385.06,0.243875,522532509.82,0.216806,0.41987
安克创新,300866,300866,2021-06-30,按产品分类,其他,28592831.77,0.005324,19689121.1,0.006651,8903710.67,0.003694,0.311397
安克创新,300866,300866,2021-06-30,按地区分类,北美,2584691636.65,0.481269,,,,,
安克创新,300866,300866,2021-06-30,按地区分类,欧洲,1101515482.31,0.205102,,,,,
安克创新,300866,300866,2021-06-30,按地区分类,日本,831678441.03,0.154858,,,,,
安克创新,300866,300866,2021-06-30,按地区分类,其他,415570838.53,0.077379,,,,,
安克创新,300866,300866,2021-06-30,按地区分类,中东,260667613.67,0.048536,,,,,
