公司名称,公司代码,指标,20251231,20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231,20131231,20121231,20111231
赛维时代,301381,存货周转率,4.395171,4.431715,5.05175,2.254902,2.321635,2.645398,2.256879,1.720584,2.002899,2.660597,2.502979,8.444595,,,
华凯易佰,300592,归母净利润,146710121.47,170161998.54,332161543.85,216983052.5,-87403837.06,-62483364.82,7980891.45,15691818.41,48734954.25,40027589.28,36868662.14,36580397.06,30109191.8,16575566.15,
华凯易佰,300592,营业总收入,9133295094.71,9022209993.05,6517860595.35,4417024029.4,2074861491.34,135162927.17,411779890.88,448493089.65,561813616.92,529584201.09,481501008.47,435745634.57,418694415.44,339644373.33,
华凯易佰,300592,营业成本,8822377422.94,8740291642.8,6102479575.49,4125842108.35,2092617951.04,186973578.74,395679300.56,423628331.29,512373211.26,494369365.46,449301632.51,397679009.39,386058898.73,319496163.77,
华凯易佰,300592,净利润,154134183.2,167004651.79,348570601.33,244662061.74,-81951659.31,-62483364.82,7980891.45,15691818.41,48734954.25,40027589.28,36868662.14,36580397.06,30109191.8,16575566.15,
华凯易佰,300592,经营现金流量净额,971885545.01,-329589797.93,366009900.05,285311895.08,322618204.98,28202597.82,75378395.32,35001505.1,-4426324.4,-19413634.99,37574561.36,-40060384.1,1415205.9,-4560651.94,
华凯易佰,300592,毛利率,33.417478,33.854971,36.957341,37.924963,37.238936,17.82739,30.979426,27.431505,31.359773,25.641494,29.655645,33.734687,30.20965,26.287579,
华凯易佰,300592,毛利率,33.417478,33.854971,36.957341,37.924963,37.238936,17.82739,30.979426,27.431505,31.359773,25.641494,29.655645,33.734687,30.20965,26.287579,
华凯易佰,300592,归母净利润,146710121.47,170161998.54,332161543.85,216983052.5,-87403837.06,-62483364.82,7980891.45,15691818.41,48734954.25,40027589.28,36868662.14,36580397.06,30109191.8,16575566.15,
华凯易佰,300592,营业总收入,9133295094.71,9022209993.05,6517860595.35,4417024029.4,2074861491.34,135162927.17,411779890.88,448493089.65,561813616.92,529584201.09,481501008.47,435745634.57,418694415.44,339644373.33,
华凯易佰,300592,净利润,154134183.2,167004651.79,348570601.33,244662061.74,-81951659.31,-62483364.82,7980891.45,15691818.41,48734954.25,40027589.28,36868662.14,36580397.06,30109191.8,16575566.15,
华凯易佰,300592,存货周转率,4.382965,4.483782,5.700794,4.641386,4.326477,0.622989,0.771987,0.872478,1.10969,1.385885,1.494062,1.492324,2.114103,2.052456,
